fixture	source_bytes	pair	compiler	elapsed_us	verdict
fixed-16	824	0	baseline	17057	accept
fixed-16	824	0	candidate	15075	accept
fixed-16	824	1	candidate	13655	accept
fixed-16	824	1	baseline	12950	accept
fixed-16	824	2	baseline	12522	accept
fixed-16	824	2	candidate	12638	accept
fixed-16	824	3	candidate	12826	accept
fixed-16	824	3	baseline	13006	accept
fixed-16	824	4	baseline	12631	accept
fixed-16	824	4	candidate	12687	accept
growing-16	1452	0	baseline	15886	accept
growing-16	1452	0	candidate	16256	accept
growing-16	1452	1	candidate	16472	accept
growing-16	1452	1	baseline	16237	accept
growing-16	1452	2	baseline	15626	accept
growing-16	1452	2	candidate	15673	accept
growing-16	1452	3	candidate	17499	accept
growing-16	1452	3	baseline	16281	accept
growing-16	1452	4	baseline	15589	accept
growing-16	1452	4	candidate	15933	accept
control-16	1038	0	baseline	14406	accept
control-16	1038	0	candidate	13995	accept
control-16	1038	1	candidate	13807	accept
control-16	1038	1	baseline	14220	accept
control-16	1038	2	baseline	13981	accept
control-16	1038	2	candidate	13680	accept
control-16	1038	3	candidate	13664	accept
control-16	1038	3	baseline	14064	accept
control-16	1038	4	baseline	14129	accept
control-16	1038	4	candidate	14269	accept
fixed-64	2209	0	baseline	15792	accept
fixed-64	2209	0	candidate	16207	accept
fixed-64	2209	1	candidate	15610	accept
fixed-64	2209	1	baseline	16282	accept
fixed-64	2209	2	baseline	16488	accept
fixed-64	2209	2	candidate	16324	accept
fixed-64	2209	3	candidate	15984	accept
fixed-64	2209	3	baseline	16037	accept
fixed-64	2209	4	baseline	15794	accept
fixed-64	2209	4	candidate	16495	accept
growing-64	5532	0	baseline	80937	accept
growing-64	5532	0	candidate	76514	accept
growing-64	5532	1	candidate	76026	accept
growing-64	5532	1	baseline	79405	accept
growing-64	5532	2	baseline	79645	accept
growing-64	5532	2	candidate	73974	accept
growing-64	5532	3	candidate	74551	accept
growing-64	5532	3	baseline	81290	accept
growing-64	5532	4	baseline	79593	accept
growing-64	5532	4	candidate	74656	accept
control-64	3486	0	baseline	34294	accept
control-64	3486	0	candidate	29333	accept
control-64	3486	1	candidate	30190	accept
control-64	3486	1	baseline	34743	accept
control-64	3486	2	baseline	34559	accept
control-64	3486	2	candidate	29884	accept
control-64	3486	3	candidate	29069	accept
control-64	3486	3	baseline	34519	accept
control-64	3486	4	baseline	34266	accept
control-64	3486	4	candidate	29114	accept
fixed-256	7779	0	baseline	25141	accept
fixed-256	7779	0	candidate	26275	accept
fixed-256	7779	1	candidate	26220	accept
fixed-256	7779	1	baseline	24642	accept
fixed-256	7779	2	baseline	24362	accept
fixed-256	7779	2	candidate	24949	accept
fixed-256	7779	3	candidate	24770	accept
fixed-256	7779	3	baseline	24413	accept
fixed-256	7779	4	baseline	24389	accept
fixed-256	7779	4	candidate	24652	accept
growing-256	23100	0	baseline	3207756	accept
growing-256	23100	0	candidate	3065381	accept
growing-256	23100	1	candidate	3077300	accept
growing-256	23100	1	baseline	3232766	accept
growing-256	23100	2	baseline	3256494	accept
growing-256	23100	2	candidate	3081418	accept
growing-256	23100	3	candidate	3031090	accept
growing-256	23100	3	baseline	3237481	accept
growing-256	23100	4	baseline	3233545	accept
growing-256	23100	4	candidate	3037836	accept
control-256	13902	0	baseline	482912	accept
control-256	13902	0	candidate	291294	accept
control-256	13902	1	candidate	295832	accept
control-256	13902	1	baseline	480731	accept
control-256	13902	2	baseline	482823	accept
control-256	13902	2	candidate	283488	accept
control-256	13902	3	candidate	284583	accept
control-256	13902	3	baseline	479445	accept
control-256	13902	4	baseline	488975	accept
control-256	13902	4	candidate	291368	accept
fixed-4096	124045	0	baseline	288054	accept
fixed-4096	124045	0	candidate	290692	accept
fixed-4096	124045	1	candidate	287933	accept
fixed-4096	124045	1	baseline	290268	accept
fixed-4096	124045	2	baseline	291060	accept
fixed-4096	124045	2	candidate	289046	accept
fixed-4096	124045	3	candidate	287628	accept
fixed-4096	124045	3	baseline	289432	accept
fixed-4096	124045	4	baseline	291682	accept
fixed-4096	124045	4	candidate	285583	accept
