fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
fixed-16	824	0	baseline	17217	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	0	candidate	14773	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	1	candidate	13085	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	1	baseline	13496	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	2	baseline	13411	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	2	candidate	13574	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	3	candidate	13125	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	3	baseline	13248	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	4	baseline	13159	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-16	824	4	candidate	13113	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
growing-16	1452	0	baseline	15608	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	0	candidate	16122	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	1	candidate	15722	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	1	baseline	15661	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	2	baseline	16137	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	2	candidate	16407	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	3	candidate	16414	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	3	baseline	16448	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	4	baseline	16161	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
growing-16	1452	4	candidate	15803	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	0	baseline	14461	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	0	candidate	14838	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	1	candidate	14063	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	1	baseline	14259	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	2	baseline	14371	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	2	candidate	14060	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	3	candidate	13956	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	3	baseline	14608	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	4	baseline	14096	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
control-16	1038	4	candidate	14647	accept	2ef66e480261e3d22699c6f86594a299347f780c1c234b4daafb7688d68dfa71
fixed-64	2209	0	baseline	15802	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-64	2209	0	candidate	15675	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-64	2209	1	candidate	15376	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
