fixture	source_bytes	pair	compiler	elapsed_us	verdict
fixed-64	2209	0	baseline	17009	accept
fixed-64	2209	0	candidate	15415	accept
fixed-64	2209	1	candidate	15087	accept
fixed-64	2209	1	baseline	15788	accept
fixed-64	2209	2	baseline	15609	accept
fixed-64	2209	2	candidate	14987	accept
fixed-64	2209	3	candidate	15468	accept
fixed-64	2209	3	baseline	16672	accept
fixed-64	2209	4	baseline	16729	accept
fixed-64	2209	4	candidate	15948	accept
growing-64	5532	0	baseline	1672267	accept
growing-64	5532	0	candidate	870946	accept
growing-64	5532	1	candidate	867262	accept
growing-64	5532	1	baseline	1672069	accept
growing-64	5532	2	baseline	1685028	accept
growing-64	5532	2	candidate	883869	accept
growing-64	5532	3	candidate	880753	accept
growing-64	5532	3	baseline	1671772	accept
growing-64	5532	4	baseline	1680079	accept
growing-64	5532	4	candidate	875405	accept
control-64	3486	0	baseline	169448	accept
control-64	3486	0	candidate	143670	accept
control-64	3486	1	candidate	140865	accept
control-64	3486	1	baseline	166947	accept
control-64	3486	2	baseline	168855	accept
control-64	3486	2	candidate	142539	accept
control-64	3486	3	candidate	141477	accept
control-64	3486	3	baseline	166523	accept
control-64	3486	4	baseline	168284	accept
control-64	3486	4	candidate	140761	accept
