fixture	source_bytes	pair	compiler	elapsed_us	verdict
fixed-16	824	0	baseline	16961	accept
fixed-16	824	0	candidate	15469	accept
fixed-16	824	1	candidate	13851	accept
fixed-16	824	1	baseline	13625	accept
fixed-16	824	2	baseline	12720	accept
fixed-16	824	2	candidate	12710	accept
fixed-16	824	3	candidate	12760	accept
fixed-16	824	3	baseline	12966	accept
fixed-16	824	4	baseline	12963	accept
fixed-16	824	4	candidate	12693	accept
growing-16	1452	0	baseline	28838	accept
growing-16	1452	0	candidate	17283	accept
growing-16	1452	1	candidate	17113	accept
growing-16	1452	1	baseline	28775	accept
growing-16	1452	2	baseline	28444	accept
growing-16	1452	2	candidate	17279	accept
growing-16	1452	3	candidate	17282	accept
growing-16	1452	3	baseline	28696	accept
growing-16	1452	4	baseline	28560	accept
growing-16	1452	4	candidate	17412	accept
control-16	1038	0	baseline	17633	accept
control-16	1038	0	candidate	15237	accept
control-16	1038	1	candidate	15217	accept
control-16	1038	1	baseline	17640	accept
control-16	1038	2	baseline	17464	accept
control-16	1038	2	candidate	16559	accept
control-16	1038	3	candidate	16336	accept
control-16	1038	3	baseline	18723	accept
control-16	1038	4	baseline	18408	accept
control-16	1038	4	candidate	15794	accept
fixed-64	2209	0	baseline	15675	accept
fixed-64	2209	0	candidate	15144	accept
fixed-64	2209	1	candidate	14934	accept
fixed-64	2209	1	baseline	15749	accept
fixed-64	2209	2	baseline	16653	accept
fixed-64	2209	2	candidate	15482	accept
fixed-64	2209	3	candidate	15284	accept
fixed-64	2209	3	baseline	15971	accept
fixed-64	2209	4	baseline	15657	accept
fixed-64	2209	4	candidate	15208	accept
growing-64	5532	0	baseline	1698082	accept
growing-64	5532	0	candidate	172683	accept
growing-64	5532	1	candidate	169565	accept
growing-64	5532	1	baseline	1667778	accept
growing-64	5532	2	baseline	1672547	accept
growing-64	5532	2	candidate	170555	accept
growing-64	5532	3	candidate	175904	accept
growing-64	5532	3	baseline	1684384	accept
growing-64	5532	4	baseline	1680280	accept
growing-64	5532	4	candidate	169347	accept
control-64	3486	0	baseline	163798	accept
control-64	3486	0	candidate	118451	accept
control-64	3486	1	candidate	97157	accept
control-64	3486	1	baseline	167665	accept
control-64	3486	2	baseline	165340	accept
control-64	3486	2	candidate	94799	accept
control-64	3486	3	candidate	95165	accept
control-64	3486	3	baseline	163429	accept
control-64	3486	4	baseline	163572	accept
control-64	3486	4	candidate	94543	accept
fixed-128	4066	0	baseline	19647	accept
fixed-128	4066	0	candidate	18307	accept
fixed-128	4066	1	candidate	18042	accept
fixed-128	4066	1	baseline	19547	accept
fixed-128	4066	2	baseline	19368	accept
fixed-128	4066	2	candidate	18111	accept
fixed-128	4066	3	candidate	18108	accept
fixed-128	4066	3	baseline	19475	accept
fixed-128	4066	4	baseline	19397	accept
fixed-128	4066	4	candidate	19581	accept
growing-128	11196	0	baseline	21496163	accept
growing-128	11196	0	candidate	1166422	accept
growing-128	11196	1	candidate	1148945	accept
growing-128	11196	1	baseline	21502099	accept
growing-128	11196	2	baseline	21452469	accept
growing-128	11196	2	candidate	1149147	accept
growing-128	11196	3	candidate	1142060	accept
growing-128	11196	3	baseline	21467278	accept
growing-128	11196	4	baseline	21480277	accept
growing-128	11196	4	candidate	1142176	accept
control-128	6862	0	baseline	1001082	accept
control-128	6862	0	candidate	545451	accept
control-128	6862	1	candidate	552099	accept
control-128	6862	1	baseline	1009703	accept
control-128	6862	2	baseline	1005767	accept
control-128	6862	2	candidate	547757	accept
control-128	6862	3	candidate	548065	accept
control-128	6862	3	baseline	1008976	accept
control-128	6862	4	baseline	1003327	accept
control-128	6862	4	candidate	548343	accept
fixed-4096	124045	0	baseline	325241	accept
fixed-4096	124045	0	candidate	284824	accept
fixed-4096	124045	1	candidate	286128	accept
fixed-4096	124045	1	baseline	323522	accept
fixed-4096	124045	2	baseline	322284	accept
fixed-4096	124045	2	candidate	285988	accept
fixed-4096	124045	3	candidate	290295	accept
fixed-4096	124045	3	baseline	321796	accept
fixed-4096	124045	4	baseline	323225	accept
fixed-4096	124045	4	candidate	286192	accept
real-prefix	2909	0	baseline	179583	accept
real-prefix	2909	0	candidate	169701	accept
real-prefix	2909	1	candidate	169110	accept
real-prefix	2909	1	baseline	175050	accept
real-prefix	2909	2	baseline	174514	accept
real-prefix	2909	2	candidate	172801	accept
real-prefix	2909	3	candidate	173698	accept
real-prefix	2909	3	baseline	176017	accept
real-prefix	2909	4	baseline	173463	accept
real-prefix	2909	4	candidate	168746	accept
real-histogram	3676	0	baseline	187505	accept
real-histogram	3676	0	candidate	180416	accept
real-histogram	3676	1	candidate	174916	accept
real-histogram	3676	1	baseline	186319	accept
real-histogram	3676	2	baseline	186272	accept
real-histogram	3676	2	candidate	174980	accept
real-histogram	3676	3	candidate	174992	accept
real-histogram	3676	3	baseline	191293	accept
real-histogram	3676	4	baseline	184410	accept
real-histogram	3676	4	candidate	173892	accept
