fixture	source_bytes	pair	compiler	elapsed_us	verdict
fixed-128	4066	0	baseline	19449	accept
fixed-128	4066	0	candidate	19174	accept
fixed-128	4066	1	candidate	19374	accept
fixed-128	4066	1	baseline	19975	accept
fixed-128	4066	2	baseline	19195	accept
fixed-128	4066	2	candidate	18963	accept
fixed-128	4066	3	candidate	19307	accept
fixed-128	4066	3	baseline	19202	accept
fixed-128	4066	4	baseline	19273	accept
fixed-128	4066	4	candidate	19204	accept
growing-128	11196	0	baseline	9688400	accept
growing-128	11196	0	candidate	1162307	accept
growing-128	11196	1	candidate	1164795	accept
growing-128	11196	1	baseline	9628679	accept
growing-128	11196	2	baseline	9714618	accept
growing-128	11196	2	candidate	1158502	accept
growing-128	11196	3	candidate	1152857	accept
growing-128	11196	3	baseline	9805297	accept
growing-128	11196	4	baseline	9659580	accept
growing-128	11196	4	candidate	1159643	accept
control-128	6862	0	baseline	833116	accept
control-128	6862	0	candidate	560812	accept
control-128	6862	1	candidate	564849	accept
control-128	6862	1	baseline	832036	accept
control-128	6862	2	baseline	828950	accept
control-128	6862	2	candidate	562394	accept
control-128	6862	3	candidate	563708	accept
control-128	6862	3	baseline	832367	accept
control-128	6862	4	baseline	831472	accept
control-128	6862	4	candidate	559602	accept
