fixture	source_bytes	pair	compiler	elapsed_us	verdict
fixed-16	824	0	baseline	13440	accept
fixed-16	824	0	candidate	13165	accept
fixed-16	824	1	candidate	13032	accept
fixed-16	824	1	baseline	13416	accept
fixed-16	824	2	baseline	12949	accept
fixed-16	824	2	candidate	13272	accept
fixed-16	824	3	candidate	13815	accept
fixed-16	824	3	baseline	13412	accept
fixed-16	824	4	baseline	13307	accept
fixed-16	824	4	candidate	13295	accept
growing-16	1452	0	baseline	18559	accept
growing-16	1452	0	candidate	17216	accept
growing-16	1452	1	candidate	16940	accept
growing-16	1452	1	baseline	17766	accept
growing-16	1452	2	baseline	17904	accept
growing-16	1452	2	candidate	16765	accept
growing-16	1452	3	candidate	17205	accept
growing-16	1452	3	baseline	17838	accept
growing-16	1452	4	baseline	18060	accept
growing-16	1452	4	candidate	17026	accept
control-16	1038	0	baseline	16129	accept
control-16	1038	0	candidate	15166	accept
control-16	1038	1	candidate	14827	accept
control-16	1038	1	baseline	16162	accept
control-16	1038	2	baseline	15949	accept
control-16	1038	2	candidate	14729	accept
control-16	1038	3	candidate	14626	accept
control-16	1038	3	baseline	15681	accept
control-16	1038	4	baseline	15664	accept
control-16	1038	4	candidate	15087	accept
fixed-64	2209	0	baseline	15558	accept
fixed-64	2209	0	candidate	15584	accept
fixed-64	2209	1	candidate	15204	accept
fixed-64	2209	1	baseline	15750	accept
fixed-64	2209	2	baseline	15250	accept
fixed-64	2209	2	candidate	15394	accept
fixed-64	2209	3	candidate	15127	accept
fixed-64	2209	3	baseline	15774	accept
fixed-64	2209	4	baseline	15309	accept
fixed-64	2209	4	candidate	15621	accept
growing-64	5532	0	baseline	170858	accept
growing-64	5532	0	candidate	120190	accept
growing-64	5532	1	candidate	119567	accept
growing-64	5532	1	baseline	175385	accept
growing-64	5532	2	baseline	172552	accept
growing-64	5532	2	candidate	118418	accept
growing-64	5532	3	candidate	119032	accept
growing-64	5532	3	baseline	174417	accept
growing-64	5532	4	baseline	175306	accept
growing-64	5532	4	candidate	117678	accept
control-64	3486	0	baseline	97104	accept
control-64	3486	0	candidate	42094	accept
control-64	3486	1	candidate	43183	accept
control-64	3486	1	baseline	97153	accept
control-64	3486	2	baseline	96878	accept
control-64	3486	2	candidate	42743	accept
control-64	3486	3	candidate	42348	accept
control-64	3486	3	baseline	96677	accept
control-64	3486	4	baseline	96359	accept
control-64	3486	4	candidate	42499	accept
fixed-128	4066	0	baseline	19188	accept
fixed-128	4066	0	candidate	18913	accept
fixed-128	4066	1	candidate	18936	accept
fixed-128	4066	1	baseline	19149	accept
fixed-128	4066	2	baseline	18604	accept
fixed-128	4066	2	candidate	19616	accept
fixed-128	4066	3	candidate	19602	accept
fixed-128	4066	3	baseline	19116	accept
fixed-128	4066	4	baseline	19137	accept
fixed-128	4066	4	candidate	19393	accept
growing-128	11196	0	baseline	1178865	accept
growing-128	11196	0	candidate	734238	accept
growing-128	11196	1	candidate	729594	accept
growing-128	11196	1	baseline	1148302	accept
growing-128	11196	2	baseline	1146762	accept
growing-128	11196	2	candidate	730642	accept
growing-128	11196	3	candidate	729916	accept
growing-128	11196	3	baseline	1151295	accept
growing-128	11196	4	baseline	1150888	accept
growing-128	11196	4	candidate	732385	accept
control-128	6862	0	baseline	556709	accept
control-128	6862	0	candidate	132882	accept
control-128	6862	1	candidate	134278	accept
control-128	6862	1	baseline	555917	accept
control-128	6862	2	baseline	558589	accept
control-128	6862	2	candidate	133197	accept
control-128	6862	3	candidate	136508	accept
control-128	6862	3	baseline	569794	accept
control-128	6862	4	baseline	579348	accept
control-128	6862	4	candidate	139088	accept
fixed-256	7779	0	baseline	25972	accept
fixed-256	7779	0	candidate	25753	accept
fixed-256	7779	1	candidate	25255	accept
fixed-256	7779	1	baseline	25923	accept
fixed-256	7779	2	baseline	26285	accept
fixed-256	7779	2	candidate	25687	accept
fixed-256	7779	3	candidate	25439	accept
fixed-256	7779	3	baseline	25531	accept
fixed-256	7779	4	baseline	25428	accept
fixed-256	7779	4	candidate	25170	accept
growing-256	23100	0	baseline	8988148	accept
growing-256	23100	0	candidate	5527115	accept
growing-256	23100	1	candidate	5438577	accept
growing-256	23100	1	baseline	8987902	accept
growing-256	23100	2	baseline	8955724	accept
growing-256	23100	2	candidate	5501185	accept
growing-256	23100	3	candidate	5536777	accept
growing-256	23100	3	baseline	9076836	accept
growing-256	23100	4	baseline	9072199	accept
growing-256	23100	4	candidate	5498951	accept
control-256	13902	0	baseline	4103871	accept
control-256	13902	0	candidate	626995	accept
control-256	13902	1	candidate	620070	accept
control-256	13902	1	baseline	4155557	accept
control-256	13902	2	baseline	4188673	accept
control-256	13902	2	candidate	660474	accept
control-256	13902	3	candidate	626201	accept
control-256	13902	3	baseline	4134205	accept
control-256	13902	4	baseline	4221972	accept
control-256	13902	4	candidate	598429	accept
fixed-4096	124045	0	baseline	296565	accept
fixed-4096	124045	0	candidate	299687	accept
fixed-4096	124045	1	candidate	294587	accept
fixed-4096	124045	1	baseline	291948	accept
fixed-4096	124045	2	baseline	295225	accept
fixed-4096	124045	2	candidate	292614	accept
fixed-4096	124045	3	candidate	290287	accept
fixed-4096	124045	3	baseline	293719	accept
fixed-4096	124045	4	baseline	292374	accept
fixed-4096	124045	4	candidate	294934	accept
real-prefix	2909	0	baseline	176083	accept
real-prefix	2909	0	candidate	182519	accept
real-prefix	2909	1	candidate	176433	accept
real-prefix	2909	1	baseline	171238	accept
real-prefix	2909	2	baseline	173910	accept
real-prefix	2909	2	candidate	174563	accept
real-prefix	2909	3	candidate	178419	accept
real-prefix	2909	3	baseline	175305	accept
real-prefix	2909	4	baseline	174620	accept
real-prefix	2909	4	candidate	176005	accept
real-histogram	3676	0	baseline	177264	accept
real-histogram	3676	0	candidate	180007	accept
real-histogram	3676	1	candidate	184680	accept
real-histogram	3676	1	baseline	176728	accept
real-histogram	3676	2	baseline	176133	accept
real-histogram	3676	2	candidate	178940	accept
real-histogram	3676	3	candidate	179131	accept
real-histogram	3676	3	baseline	181127	accept
real-histogram	3676	4	baseline	178212	accept
real-histogram	3676	4	candidate	177763	accept
real-radix_scatter	8989	0	baseline	984562	accept
real-radix_scatter	8989	0	candidate	990716	accept
real-radix_scatter	8989	1	candidate	1021663	accept
real-radix_scatter	8989	1	baseline	994763	accept
real-radix_scatter	8989	2	baseline	977642	accept
real-radix_scatter	8989	2	candidate	991336	accept
real-radix_scatter	8989	3	candidate	998660	accept
real-radix_scatter	8989	3	baseline	980749	accept
real-radix_scatter	8989	4	baseline	978282	accept
real-radix_scatter	8989	4	candidate	1006481	accept
real-wfgrep	83524	0	baseline	40366798	accept
real-wfgrep	83524	0	candidate	40915065	accept
real-wfgrep	83524	1	candidate	40830588	accept
real-wfgrep	83524	1	baseline	40975481	accept
real-wfgrep	83524	2	baseline	41254037	accept
real-wfgrep	83524	2	candidate	40173759	accept
real-wfgrep	83524	3	candidate	40361663	accept
real-wfgrep	83524	3	baseline	39748119	accept
real-wfgrep	83524	4	baseline	39717724	accept
real-wfgrep	83524	4	candidate	39749505	accept
