compiler	family	count	source_bytes	repetition	elapsed_us	verdict	cold	sampled
baseline	fixed	16	824	0	416275	accept	1	0
baseline	growing	16	1452	0	26608	accept	0	0
baseline	control	16	1038	0	20880	accept	0	0
baseline	fixed	64	2209	0	22146	accept	0	0
baseline	growing	64	5532	0	281918	accept	0	0
baseline	control	64	3486	0	46344	accept	0	0
baseline	fixed	256	7779	0	34026	accept	0	0
baseline	growing	256	23100	0	23119527	accept	0	0
baseline	control	256	13902	0	544176	accept	0	0
baseline	fixed	512	15421	0	48829	accept	0	0
baseline	growing	512	46908	0	230640541	accept	0	1
baseline	control	512	27982	0	2505773	accept	0	0
baseline	fixed	4096	124045	0	405618	accept	0	0
index-reuse	fixed	16	824	0	546053	accept	1	0
index-reuse	growing	16	1452	0	28933	accept	0	0
index-reuse	control	16	1038	0	22960	accept	0	0
index-reuse	fixed	64	2209	0	22094	accept	0	0
index-reuse	growing	64	5532	0	97897	accept	0	0
index-reuse	control	64	3486	0	43654	accept	0	0
index-reuse	fixed	256	7779	0	31752	accept	0	0
index-reuse	growing	256	23100	0	3347085	accept	0	0
index-reuse	control	256	13902	0	439914	accept	0	0
index-reuse	fixed	512	15421	0	46463	accept	0	0
index-reuse	growing	512	46908	0	25761453	accept	0	0
index-reuse	control	512	27982	0	1829822	accept	0	0
index-reuse	fixed	4096	124045	0	381788	accept	0	0
