comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
hashing	fixed-16	824	0	baseline	23517	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	0	candidate	19189	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	1	candidate	18830	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	1	baseline	19162	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	2	baseline	19300	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	2	candidate	19119	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	3	candidate	19043	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	3	baseline	18875	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	4	baseline	19214	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	fixed-16	824	4	candidate	19132	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
hashing	growing-16	1452	0	baseline	22477	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	0	candidate	21816	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	1	candidate	21818	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	1	baseline	22044	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	2	baseline	21465	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	2	candidate	21685	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	3	candidate	21779	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	3	baseline	22203	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	4	baseline	22314	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	growing-16	1452	4	candidate	21568	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	0	baseline	20352	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	0	candidate	20176	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	1	candidate	20258	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	1	baseline	20668	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	2	baseline	20577	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	2	candidate	19716	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	3	candidate	20440	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	3	baseline	20830	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	4	baseline	20667	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	control-16	1038	4	candidate	20226	accept	72442248179956384079a15062066324c803164d59c19adb5551ea9845b76128
hashing	fixed-64	2209	0	baseline	21978	accept	092e7ca49b8d2803a1cace9bb659613cec83f9ec1cbf5d30a4ffe6325c39f7dc
