fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
fixed-16	792	0	baseline	26808	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	0	candidate	28945	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	1	candidate	26693	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	1	baseline	28746	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	2	baseline	28311	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	2	candidate	27369	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	3	candidate	27308	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	3	baseline	28038	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	4	baseline	26513	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	4	candidate	26423	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
growing-16	1316	0	baseline	32756	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	0	candidate	33195	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	1	candidate	31244	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	1	baseline	31656	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	2	baseline	30637	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	2	candidate	33083	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	3	candidate	51255	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	3	baseline	33827	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	4	baseline	42819	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	4	candidate	32516	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	0	baseline	31660	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	0	candidate	28172	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	1	candidate	28282	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	1	baseline	29427	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	2	baseline	27910	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	2	candidate	28168	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	3	candidate	28427	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	3	baseline	28968	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	4	baseline	28888	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	4	candidate	29962	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
fixed-64	2177	0	baseline	32177	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	0	candidate	31214	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	1	candidate	30056	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	1	baseline	31536	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	2	baseline	47671	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	2	candidate	31917	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	3	candidate	29693	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	3	baseline	36204	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	4	baseline	30272	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	4	candidate	34012	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
growing-64	5012	0	baseline	113533	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	0	candidate	111375	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	1	candidate	112283	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	1	baseline	120669	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	2	baseline	117257	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	2	candidate	117450	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	3	candidate	117104	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	3	baseline	118040	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	4	baseline	113616	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	4	candidate	126501	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	0	baseline	56864	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	0	candidate	58621	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	1	candidate	60844	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	1	baseline	69867	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	2	baseline	61949	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	2	candidate	66989	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	3	candidate	61982	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	3	baseline	63021	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	4	baseline	91629	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	4	candidate	59786	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
fixed-256	7747	0	baseline	46160	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	0	candidate	46709	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	1	candidate	74678	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	1	baseline	48736	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	2	baseline	47049	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	2	candidate	57793	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	3	candidate	67768	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	3	baseline	49784	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	4	baseline	48059	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	4	candidate	81308	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
growing-256	21044	0	baseline	4214196	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	0	candidate	4033765	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	1	candidate	4161459	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	1	baseline	4096584	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	2	baseline	4171020	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	2	candidate	4023665	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	3	candidate	4204654	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	3	baseline	4179331	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	4	baseline	4064900	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	4	candidate	4086201	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	0	baseline	890542	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	0	candidate	873649	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	1	candidate	872119	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	1	baseline	940621	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	2	baseline	847196	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	2	candidate	874484	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	3	candidate	872840	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	3	baseline	914847	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	4	baseline	886422	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
