fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
fixed-256	7747	0	baseline	47621	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	0	candidate	49781	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	1	candidate	47354	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	1	baseline	46661	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	2	baseline	46183	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	2	candidate	50620	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	3	candidate	51799	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	3	baseline	48765	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	4	baseline	47597	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-256	7747	4	candidate	51568	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
growing-256	21044	0	baseline	4040737	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	0	candidate	4136050	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	1	candidate	4120163	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	1	baseline	4242322	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	2	baseline	4121586	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	2	candidate	4204089	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	3	candidate	4042734	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	3	baseline	4096887	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	4	baseline	4191144	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
growing-256	21044	4	candidate	3945177	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	0	baseline	927957	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	0	candidate	1005015	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	1	candidate	916299	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	1	baseline	873799	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	2	baseline	929137	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	2	candidate	868124	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	3	candidate	861576	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	3	baseline	850000	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	4	baseline	873708	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
control-256	11846	4	candidate	893658	accept	0c2ae37c4d875185ebfa6e7e148ffd96c7148451290f2e225eae9945b2aace72
