fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
fixed-16	792	0	baseline	30213	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	0	candidate	30673	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	1	candidate	29100	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	1	baseline	35574	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	2	baseline	29410	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	2	candidate	33494	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	3	candidate	47952	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	3	baseline	31203	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	4	baseline	28044	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-16	792	4	candidate	29593	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
growing-16	1316	0	baseline	31672	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	0	candidate	32519	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	1	candidate	34826	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	1	baseline	32384	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	2	baseline	31935	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	2	candidate	31593	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	3	candidate	36815	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	3	baseline	33949	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	4	baseline	33635	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
growing-16	1316	4	candidate	35185	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	0	baseline	29129	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	0	candidate	28631	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	1	candidate	29344	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	1	baseline	29472	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	2	baseline	28410	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	2	candidate	29239	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	3	candidate	28765	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	3	baseline	30971	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	4	baseline	35707	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
control-16	902	4	candidate	29753	accept	805777340ba0bcc3c042faa11ef76dda1357f984899325510877a4e4624fac8d
fixed-64	2177	0	baseline	31065	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	0	candidate	30032	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	1	candidate	30627	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	1	baseline	39403	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	2	baseline	51113	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	2	candidate	51852	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	3	candidate	49299	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	3	baseline	34742	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	4	baseline	32931	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
fixed-64	2177	4	candidate	31882	accept	0d61a837e7dee07c0c3b0bde5bdd579ae359ed26ba5987da085ba6b6ceb19048
growing-64	5012	0	baseline	119843	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	0	candidate	112654	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	1	candidate	111962	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	1	baseline	111716	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	2	baseline	117615	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	2	candidate	153863	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	3	candidate	113966	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	3	baseline	127340	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	4	baseline	118597	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
growing-64	5012	4	candidate	113793	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	0	baseline	56986	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	0	candidate	58901	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	1	candidate	57338	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	1	baseline	57693	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	2	baseline	56963	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	2	candidate	77189	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	3	candidate	73077	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	3	baseline	58370	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
control-64	2966	4	baseline	65433	accept	cd91122d3dce66b4eeb1edf51691a21a6c5b18207c8e275357e458870af7cc49
