target	suite	case	workers	variant/research	pairs	wall_median	wall_min	wall_max	cpu_median	rss_median	switches_delta_median
linux-x64	fir	4096-16	1	old	5	0.9847	0.7718	1.0446	0.9849	1.0014	0
linux-x64	fir	4096-16	1	research-off	5	0.9704	0.7841	1.0888	0.9699	0.9945	1
linux-x64	fir	4096-16	1	replica	5	0.9970	0.7646	1.2904	0.9976	0.9972	0
linux-x64	fir	4096-64	1	old	5	0.9671	0.7929	1.3240	0.9661	1.0073	0
linux-x64	fir	4096-64	1	research-off	5	1.0155	0.8166	1.3573	1.0146	1.0015	0
linux-x64	fir	4096-64	1	replica	5	0.9461	0.7872	1.3730	0.9455	1.0102	1
linux-x64	fir	4096-1024	1	old	5	1.0258	0.6793	1.4003	1.0246	1.0088	0
linux-x64	fir	4096-1024	1	research-off	5	0.9849	0.7384	1.0370	0.9845	0.9928	0
linux-x64	fir	4096-1024	1	replica	5	1.0349	0.6948	1.0461	0.9937	1.0087	0
linux-x64	fir	65536-16	1	old	5	0.9493	0.8843	0.9667	0.9488	1.0000	-6
linux-x64	fir	65536-16	1	research-off	5	1.0000	0.9192	1.0059	0.9995	1.0007	-6
linux-x64	fir	65536-16	1	replica	5	0.9884	0.9697	1.0144	0.9883	1.0063	2
linux-x64	fir	65536-64	1	old	5	0.9839	0.8903	1.1012	0.9833	0.9948	5
linux-x64	fir	65536-64	1	research-off	5	1.0006	0.9276	1.0930	1.0002	0.9933	2
linux-x64	fir	65536-64	1	replica	5	1.0072	0.9163	1.1304	1.0081	0.9955	0
linux-x64	fir	65536-1024	1	old	5	0.9988	0.8198	1.1786	0.9997	1.0023	0
linux-x64	fir	65536-1024	1	research-off	5	1.0229	0.8587	1.0972	1.0040	1.0023	1
linux-x64	fir	65536-1024	1	replica	5	1.0561	0.8276	1.1206	1.0471	1.0015	0
linux-x64	mandelbrot	0-4096	1	old	5	1.0127	0.9721	1.0164	1.0125	1.0019	0
linux-x64	mandelbrot	0-4096	1	research-off	5	1.0012	0.9943	1.0308	1.0006	1.0019	1
linux-x64	mandelbrot	0-4096	1	replica	5	0.9950	0.9875	1.0187	0.9944	1.0037	0
linux-x64	mandelbrot	0-65536	1	old	5	0.9926	0.9915	0.9946	0.9927	0.9953	1
linux-x64	mandelbrot	0-65536	1	research-off	5	0.9937	0.9880	0.9953	0.9934	0.9767	2
linux-x64	mandelbrot	0-65536	1	replica	5	1.0003	0.9973	1.0008	1.0003	0.9888	2
linux-x64	mandelbrot	1-4096	1	old	5	0.9956	0.9888	1.0098	0.9955	1.0000	0
linux-x64	mandelbrot	1-4096	1	research-off	5	0.9967	0.9895	1.0091	0.9955	0.9662	0
linux-x64	mandelbrot	1-4096	1	replica	5	0.9996	0.9862	1.0252	0.9994	0.9750	0
linux-x64	mandelbrot	1-65536	1	old	5	0.9990	0.9962	1.0011	0.9990	1.0037	0
linux-x64	mandelbrot	1-65536	1	research-off	5	0.9993	0.9967	1.0008	0.9992	1.0047	-1
linux-x64	mandelbrot	1-65536	1	replica	5	1.0003	0.9979	1.0017	1.0003	1.0000	0
linux-x64	mandelbrot	2-4096	1	old	5	1.0234	1.0017	1.0500	1.0233	0.8710	1
linux-x64	mandelbrot	2-4096	1	research-off	5	0.9864	0.9784	1.0371	1.0010	0.9646	0
linux-x64	mandelbrot	2-4096	1	replica	5	0.9995	0.9889	1.0095	1.0043	0.9984	0
linux-x64	mandelbrot	2-65536	1	old	5	0.9970	0.9934	1.0004	0.9978	1.0000	0
linux-x64	mandelbrot	2-65536	1	research-off	5	1.0006	0.9953	1.0039	1.0005	0.9991	0
linux-x64	mandelbrot	2-65536	1	replica	5	0.9994	0.9958	1.0010	1.0003	1.0075	0
linux-x64	mandelbrot	3-4096	1	old	5	1.0022	0.9623	1.0365	1.0044	1.0113	0
linux-x64	mandelbrot	3-4096	1	research-off	5	1.0126	0.9949	1.0239	0.9975	1.0113	0
linux-x64	mandelbrot	3-4096	1	replica	5	1.0122	0.9751	1.0186	1.0122	1.0000	0
linux-x64	mandelbrot	3-65536	1	old	5	0.9974	0.9887	0.9985	0.9974	0.9795	0
linux-x64	mandelbrot	3-65536	1	research-off	5	0.9976	0.9893	1.0031	0.9977	0.9982	0
linux-x64	mandelbrot	3-65536	1	replica	5	0.9993	0.9916	1.0025	0.9994	1.0000	-1
linux-x64	mandelbrot	4-4096	1	old	5	0.9978	0.9906	1.0058	0.9979	1.0014	-1
linux-x64	mandelbrot	4-4096	1	research-off	5	0.9971	0.9918	1.0064	0.9974	0.9971	-2
linux-x64	mandelbrot	4-4096	1	replica	5	1.0009	0.9960	1.0044	1.0014	0.9971	-2
linux-x64	mandelbrot	4-65536	1	old	5	0.9982	0.9955	0.9995	0.9983	1.0009	-4
linux-x64	mandelbrot	4-65536	1	research-off	5	0.9987	0.9961	1.0000	0.9987	0.9813	-1
linux-x64	mandelbrot	4-65536	1	replica	5	1.0005	0.9978	1.0022	0.9998	0.9817	1
linux-x64	mandelbrot	5-4096	1	old	5	0.7881	0.4403	2.3986	1.0011	0.9758	0
linux-x64	mandelbrot	5-4096	1	research-off	5	0.8697	0.5583	1.0759	0.9520	0.9981	0
linux-x64	mandelbrot	5-4096	1	replica	5	0.8358	0.5569	1.1224	1.0471	0.9963	0
linux-x64	mandelbrot	5-65536	1	old	5	1.1104	1.0447	1.4055	1.1086	1.0024	0
linux-x64	mandelbrot	5-65536	1	research-off	5	0.9761	0.9371	1.0293	0.9769	0.9976	0
linux-x64	mandelbrot	5-65536	1	replica	5	1.0885	0.8902	1.2335	1.0834	0.9988	0
linux-x64	mandelbrot	6-4096	1	old	5	1.0133	1.0084	1.0166	1.0128	0.9984	0
linux-x64	mandelbrot	6-4096	1	research-off	5	1.0001	0.9986	1.0180	1.0018	1.0000	-1
linux-x64	mandelbrot	6-4096	1	replica	5	1.0051	0.9842	1.0128	1.0076	0.9984	-1
linux-x64	mandelbrot	6-65536	1	old	5	1.0001	0.9874	1.0025	1.0001	1.0000	-1
linux-x64	mandelbrot	6-65536	1	research-off	5	0.9998	0.9898	1.0038	0.9976	1.0019	3
linux-x64	mandelbrot	6-65536	1	replica	5	1.0033	0.9954	1.0040	1.0031	0.9952	2
linux-x64	fir	4096-16	2	old	5	0.8957	0.6301	1.0779	0.9442	0.9971	-84
linux-x64	fir	4096-16	2	research-off	5	0.8448	0.7690	1.3563	0.8674	0.9706	-11
linux-x64	fir	4096-16	2	replica	5	0.8969	0.7975	1.0615	0.9294	1.0331	-13
linux-x64	fir	4096-64	2	old	5	0.9672	0.8900	1.0051	0.9688	0.9587	-5
linux-x64	fir	4096-64	2	research-off	5	1.0120	0.9634	1.1260	1.0128	0.9721	-3
linux-x64	fir	4096-64	2	replica	5	0.9873	0.9333	1.1594	0.9886	0.9931	0
linux-x64	fir	4096-1024	2	old	5	0.9747	0.9648	1.1982	0.9741	1.0392	-2
linux-x64	fir	4096-1024	2	research-off	5	1.0068	0.7590	1.2504	1.0126	1.0028	0
linux-x64	fir	4096-1024	2	replica	5	1.0075	0.9909	1.2336	1.0064	1.0055	3
linux-x64	fir	65536-16	2	old	5	0.9666	0.9066	0.9813	0.9850	0.9986	4
linux-x64	fir	65536-16	2	research-off	5	1.0140	0.9851	1.0345	1.0245	0.9993	4
linux-x64	fir	65536-16	2	replica	5	1.0074	0.9917	1.0687	1.0017	1.0094	8
linux-x64	fir	65536-64	2	old	5	1.0165	0.8653	1.0445	1.0466	0.9781	0
linux-x64	fir	65536-64	2	research-off	5	0.9981	0.9170	1.0575	1.0083	0.9769	2
linux-x64	fir	65536-64	2	replica	5	0.9961	0.8683	1.0792	1.0011	0.9783	2
linux-x64	fir	65536-1024	2	old	5	0.9727	0.9296	1.1114	0.9856	1.0389	0
linux-x64	fir	65536-1024	2	research-off	5	0.9331	0.8954	1.0410	0.8944	0.9993	-1
linux-x64	fir	65536-1024	2	replica	5	0.9409	0.8955	1.0143	0.9191	0.9770	-2
