round	shape	depth	words	reps	impl	threads	seconds	exit	output
1	bal	8	16	100000	wf_seq	0	0.985797	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	1	0.894816	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	2	0.343958	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	4	0.225456	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	8	0.471149	0	418978c4dfc3adcb
1	bal	8	16	100000	wf_par	default	0.508807	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_seq	0	0.569389	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	2	0.410095	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	4	0.410624	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	8	1.024161	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_rayon	default	2.611795	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	2	0.338304	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	4	0.261169	0	418978c4dfc3adcb
1	bal	8	16	100000	rs_cut	8	0.639376	0	418978c4dfc3adcb
1	bal	8	64	32000	wf_seq	0	0.785436	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	1	0.880061	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	2	0.322278	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	4	0.181157	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	8	0.229570	0	41b7bde1c5b8515c
1	bal	8	64	32000	wf_par	default	0.232867	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_seq	0	0.495266	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	2	0.289839	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	4	0.215530	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	8	0.380235	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_rayon	default	0.808090	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	2	0.276690	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	4	0.188261	0	41b7bde1c5b8515c
1	bal	8	64	32000	rs_cut	8	0.299419	0	41b7bde1c5b8515c
1	bal	8	192	11500	wf_seq	0	0.889183	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	1	1.054662	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	2	0.395954	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	4	0.210330	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	8	0.182402	0	41d434bad9dda9b2
1	bal	8	192	11500	wf_par	default	0.173308	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_seq	0	0.599975	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_rayon	2	0.324312	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_rayon	4	0.187867	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_rayon	8	0.340819	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_rayon	default	0.362491	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_cut	2	0.324001	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_cut	4	0.183781	0	41d434bad9dda9b2
1	bal	8	192	11500	rs_cut	8	0.294846	0	41d434bad9dda9b2
1	bal	10	16	25000	wf_seq	0	0.879439	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	1	0.892446	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	2	0.326125	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	4	0.179243	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	8	0.279686	0	41a97eb56fcb8a7e
1	bal	10	16	25000	wf_par	default	0.254285	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_seq	0	0.569361	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_rayon	2	0.372474	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_rayon	4	0.250748	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_rayon	8	0.438223	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_rayon	default	0.778406	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_cut	2	0.299709	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_cut	4	0.175990	0	41a97eb56fcb8a7e
1	bal	10	16	25000	rs_cut	8	0.263550	0	41a97eb56fcb8a7e
1	bal	10	64	8000	wf_seq	0	0.797783	0	41d7c539f8109d29
1	bal	10	64	8000	wf_par	1	0.911765	0	41d7c539f8109d29
1	bal	10	64	8000	wf_par	2	0.319106	0	41d7c539f8109d29
1	bal	10	64	8000	wf_par	4	0.168652	0	41d7c539f8109d29
1	bal	10	64	8000	wf_par	8	0.156179	0	41d7c539f8109d29
1	bal	10	64	8000	wf_par	default	0.152634	0	41d7c539f8109d29
1	bal	10	64	8000	rs_seq	0	0.496237	0	41d7c539f8109d29
1	bal	10	64	8000	rs_rayon	2	0.276664	0	41d7c539f8109d29
1	bal	10	64	8000	rs_rayon	4	0.169553	0	41d7c539f8109d29
1	bal	10	64	8000	rs_rayon	8	0.223437	0	41d7c539f8109d29
1	bal	10	64	8000	rs_rayon	default	0.309507	0	41d7c539f8109d29
1	bal	10	64	8000	rs_cut	2	0.259080	0	41d7c539f8109d29
1	bal	10	64	8000	rs_cut	4	0.145697	0	41d7c539f8109d29
1	bal	10	64	8000	rs_cut	8	0.147414	0	41d7c539f8109d29
1	bal	10	192	2850	wf_seq	0	0.915921	0	41f43bcaafe3d6ba
1	bal	10	192	2850	wf_par	1	1.077644	0	41f43bcaafe3d6ba
1	bal	10	192	2850	wf_par	2	0.400460	0	41f43bcaafe3d6ba
1	bal	10	192	2850	wf_par	4	0.206274	0	41f43bcaafe3d6ba
