config	impl	threads	n	min	median	max	spread_pct
bal_d8_w16	wf_seq	0	18	0.5694	0.7800	1.1081	94.6
bal_d8_w16	wf_par	1	18	0.5499	0.6702	1.1950	117.3
bal_d8_w16	wf_par	2	18	1.0509	1.2716	2.7805	164.6
bal_d8_w16	wf_par	4	18	2.1670	2.8161	4.5726	111.0
bal_d8_w16	wf_par	8	18	4.3245	5.4957	7.0790	63.7
bal_d8_w16	rs_seq	0	18	0.5783	0.7444	0.9831	70.0
bal_d8_w16	rs_rayon	2	18	0.4092	0.5698	0.9446	130.8
bal_d8_w16	rs_rayon	4	18	0.3601	1.0727	1.6371	354.7
bal_d8_w16	rs_rayon	8	18	0.9810	1.4240	2.5972	164.7
bal_d8_w16	rs_cut	2	18	0.3303	0.5384	1.0657	222.6
bal_d8_w16	rs_cut	4	18	0.2534	0.7890	0.8996	255.0
bal_d8_w16	rs_cut	8	18	0.6274	0.9937	2.1408	241.2
bal_d8_w64	wf_seq	0	18	0.4884	0.6781	0.8651	77.1
bal_d8_w64	wf_par	1	18	0.4996	0.6108	0.9078	81.7
bal_d8_w64	wf_par	2	18	0.4857	0.5198	0.9746	100.7
bal_d8_w64	wf_par	4	18	0.8228	0.8837	1.5144	84.1
bal_d8_w64	wf_par	8	18	1.5858	1.9607	2.6807	69.0
bal_d8_w64	rs_seq	0	18	0.4906	0.6391	0.8019	63.4
bal_d8_w64	rs_rayon	2	18	0.2904	0.3935	0.6633	128.4
bal_d8_w64	rs_rayon	4	18	0.2568	0.4731	0.6676	160.0
bal_d8_w64	rs_rayon	8	18	0.4428	0.5667	1.3435	203.4
bal_d8_w64	rs_cut	2	18	0.2749	0.4253	0.7879	186.6
bal_d8_w64	rs_cut	4	18	0.1853	0.4226	0.6142	231.4
bal_d8_w64	rs_cut	8	18	0.3129	0.4172	0.9275	196.4
bal_d8_w192	wf_seq	0	18	0.6019	0.8095	1.0802	79.5
bal_d8_w192	wf_par	1	18	0.6133	0.7160	1.0646	73.6
bal_d8_w192	wf_par	2	18	0.4047	0.4566	0.8347	106.2
bal_d8_w192	wf_par	4	18	0.5610	0.6437	1.0659	90.0
bal_d8_w192	wf_par	8	18	0.7841	0.9735	1.3424	71.2
bal_d8_w192	rs_seq	0	18	0.6034	0.7870	1.1167	85.1
bal_d8_w192	rs_rayon	2	18	0.3248	0.4278	0.6578	102.5
bal_d8_w192	rs_rayon	4	18	0.1888	0.3569	0.7372	290.4
bal_d8_w192	rs_rayon	8	18	0.2369	0.3423	0.6864	189.8
bal_d8_w192	rs_cut	2	18	0.3147	0.4913	0.7027	123.3
bal_d8_w192	rs_cut	4	18	0.1955	0.3416	0.4678	139.3
bal_d8_w192	rs_cut	8	18	0.2104	0.3000	0.4897	132.8
bal_d10_w16	wf_seq	0	18	0.5686	0.7841	0.9550	68.0
bal_d10_w16	wf_par	1	18	0.5540	0.6888	0.9437	70.3
bal_d10_w16	wf_par	2	18	0.6712	0.8479	1.5943	137.5
bal_d10_w16	wf_par	4	18	1.4435	1.7321	2.4564	70.2
bal_d10_w16	wf_par	8	18	2.3753	3.2379	4.1893	76.4
bal_d10_w16	rs_seq	0	18	0.5694	0.7518	1.1932	109.6
bal_d10_w16	rs_rayon	2	18	0.3761	0.5161	0.8509	126.2
bal_d10_w16	rs_rayon	4	18	0.2739	0.5800	0.8254	201.4
bal_d10_w16	rs_rayon	8	18	0.5035	0.6739	1.1745	133.3
bal_d10_w16	rs_cut	2	18	0.3082	0.4958	0.5744	86.4
bal_d10_w16	rs_cut	4	18	0.1905	0.4211	0.5841	206.7
bal_d10_w16	rs_cut	8	18	0.2646	0.3968	0.8257	212.0
