comparison,workload,revision,round,warmup,wall_ms,peak_rss_bytes,source_bytes
freshness,dense-control,1b916975,0,true,587.355,16793600,5445
freshness,dense-control,b9e11c81,0,true,409.740,16482304,5445
freshness,dense-control,b9e11c81,1,false,36.562,16121856,5445
freshness,dense-control,1b916975,1,false,34.058,16269312,5445
freshness,dense-control,1b916975,2,false,33.806,16252928,5445
freshness,dense-control,b9e11c81,2,false,34.145,16138240,5445
freshness,dense-control,b9e11c81,3,false,34.467,16498688,5445
freshness,dense-control,1b916975,3,false,33.841,16171008,5445
freshness,dense-control,1b916975,4,false,33.722,16318464,5445
freshness,dense-control,b9e11c81,4,false,34.721,16203776,5445
freshness,dense-control,b9e11c81,5,false,34.813,16351232,5445
freshness,dense-control,1b916975,5,false,34.422,16318464,5445
freshness,grayscale,1b916975,0,true,25.440,12419072,3774
freshness,grayscale,b9e11c81,0,true,25.172,12320768,3774
freshness,grayscale,b9e11c81,1,false,24.967,12533760,3774
freshness,grayscale,1b916975,1,false,24.951,12419072,3774
freshness,grayscale,1b916975,2,false,24.683,12369920,3774
freshness,grayscale,b9e11c81,2,false,25.689,12369920,3774
freshness,grayscale,b9e11c81,3,false,24.826,12337152,3774
freshness,grayscale,1b916975,3,false,25.850,12812288,3774
freshness,grayscale,1b916975,4,false,26.010,12320768,3774
freshness,grayscale,b9e11c81,4,false,25.771,12288000,3774
freshness,grayscale,b9e11c81,5,false,25.045,12468224,3774
freshness,grayscale,1b916975,5,false,25.793,12353536,3774
freshness,telemetry,1b916975,0,true,27.689,13074432,4901
freshness,telemetry,b9e11c81,0,true,27.588,13205504,4901
freshness,telemetry,b9e11c81,1,false,27.248,13221888,4901
freshness,telemetry,1b916975,1,false,27.315,13058048,4901
freshness,telemetry,1b916975,2,false,27.207,13058048,4901
freshness,telemetry,b9e11c81,2,false,27.699,13221888,4901
freshness,telemetry,b9e11c81,3,false,27.394,13090816,4901
freshness,telemetry,1b916975,3,false,27.715,13074432,4901
freshness,telemetry,1b916975,4,false,27.312,13008896,4901
freshness,telemetry,b9e11c81,4,false,27.869,13320192,4901
