workload,revision,round,warmup,wall_ms,peak_rss_bytes,source_bytes
dense-control,e8e1c411,0,true,437.996,16629760,5445
dense-control,a1aa1aa7,0,true,417.445,16089088,5445
dense-control,a1aa1aa7,1,false,35.030,16285696,5445
dense-control,e8e1c411,1,false,33.940,16482304,5445
dense-control,e8e1c411,2,false,33.407,16728064,5445
dense-control,a1aa1aa7,2,false,33.845,16171008,5445
dense-control,a1aa1aa7,3,false,33.626,16252928,5445
dense-control,e8e1c411,3,false,33.671,16482304,5445
dense-control,e8e1c411,4,false,33.260,16711680,5445
dense-control,a1aa1aa7,4,false,33.577,16105472,5445
dense-control,a1aa1aa7,5,false,33.292,16105472,5445
dense-control,e8e1c411,5,false,33.272,16646144,5445
grayscale,e8e1c411,0,true,24.041,12107776,3774
grayscale,a1aa1aa7,0,true,25.376,12926976,3774
grayscale,a1aa1aa7,1,false,25.243,12419072,3774
grayscale,e8e1c411,1,false,24.066,12222464,3774
grayscale,e8e1c411,2,false,23.840,12107776,3774
grayscale,a1aa1aa7,2,false,24.704,12500992,3774
grayscale,a1aa1aa7,3,false,25.435,12238848,3774
grayscale,e8e1c411,3,false,25.559,12730368,3774
grayscale,e8e1c411,4,false,24.890,12107776,3774
grayscale,a1aa1aa7,4,false,24.985,12402688,3774
grayscale,a1aa1aa7,5,false,25.164,12402688,3774
grayscale,e8e1c411,5,false,24.089,12206080,3774
telemetry,e8e1c411,0,true,26.008,12713984,4901
telemetry,a1aa1aa7,0,true,27.336,13221888,4901
telemetry,a1aa1aa7,1,false,27.119,13008896,4901
telemetry,e8e1c411,1,false,25.678,12632064,4901
telemetry,e8e1c411,2,false,25.745,12713984,4901
telemetry,a1aa1aa7,2,false,27.263,13172736,4901
telemetry,a1aa1aa7,3,false,26.845,13041664,4901
telemetry,e8e1c411,3,false,25.816,12697600,4901
telemetry,e8e1c411,4,false,27.405,13451264,4901
telemetry,a1aa1aa7,4,false,28.583,13139968,4901
telemetry,a1aa1aa7,5,false,27.669,13156352,4901
telemetry,e8e1c411,5,false,28.491,13484032,4901
prefix-expression,e8e1c411,0,true,23.686,11796480,4391
prefix-expression,a1aa1aa7,0,true,25.093,12206080,4391
prefix-expression,a1aa1aa7,1,false,23.969,11698176,4391
prefix-expression,e8e1c411,1,false,23.441,11714560,4391
prefix-expression,e8e1c411,2,false,23.340,11796480,4391
prefix-expression,a1aa1aa7,2,false,23.716,11862016,4391
prefix-expression,a1aa1aa7,3,false,23.547,11894784,4391
prefix-expression,e8e1c411,3,false,24.097,11730944,4391
prefix-expression,e8e1c411,4,false,23.736,11665408,4391
prefix-expression,a1aa1aa7,4,false,23.953,11599872,4391
prefix-expression,a1aa1aa7,5,false,25.397,11829248,4391
prefix-expression,e8e1c411,5,false,23.593,11730944,4391
wfgrep,e8e1c411,0,true,829.571,249331712,47412
wfgrep,a1aa1aa7,0,true,850.265,259276800,47412
wfgrep,a1aa1aa7,1,false,836.805,259047424,47412
wfgrep,e8e1c411,1,false,824.066,261636096,47412
wfgrep,e8e1c411,2,false,819.073,250724352,47412
wfgrep,a1aa1aa7,2,false,853.304,258342912,47412
wfgrep,a1aa1aa7,3,false,843.122,252706816,47412
wfgrep,e8e1c411,3,false,830.889,255852544,47412
wfgrep,e8e1c411,4,false,819.294,255672320,47412
wfgrep,a1aa1aa7,4,false,851.636,251920384,47412
wfgrep,a1aa1aa7,5,false,847.021,264519680,47412
wfgrep,e8e1c411,5,false,828.957,257146880,47412
raw-deflate,e8e1c411,0,true,226.562,79724544,74201
raw-deflate,a1aa1aa7,0,true,693.758,116539392,74201
raw-deflate,a1aa1aa7,1,false,691.773,116883456,74201
raw-deflate,e8e1c411,1,false,233.065,81199104,74201
raw-deflate,e8e1c411,2,false,227.611,78315520,74201
raw-deflate,a1aa1aa7,2,false,697.128,121143296,74201
raw-deflate,a1aa1aa7,3,false,697.162,118685696,74201
raw-deflate,e8e1c411,3,false,230.283,82018304,74201
raw-deflate,e8e1c411,4,false,227.076,77578240,74201
raw-deflate,a1aa1aa7,4,false,691.907,117293056,74201
raw-deflate,a1aa1aa7,5,false,697.451,115949568,74201
raw-deflate,e8e1c411,5,false,227.915,78495744,74201
