compiler,axis,size,repeat,source_bytes,wall_ms,peak_rss_bytes
baseline,copies,4,0,793,19.278,10485760
baseline,copies,4,1,793,19.228,10518528
baseline,copies,4,2,793,19.375,10371072
baseline,copies,8,0,901,19.447,10371072
baseline,copies,8,1,901,19.536,10534912
baseline,copies,8,2,901,19.501,10420224
baseline,copies,16,0,1131,19.767,10616832
baseline,copies,16,1,1131,19.700,10616832
baseline,copies,16,2,1131,19.655,10780672
baseline,copies,32,0,1595,20.426,10977280
baseline,copies,32,1,1595,20.330,10911744
baseline,copies,32,2,1595,20.281,10829824
baseline,outcomes,4,0,849,19.726,10551296
baseline,outcomes,4,1,849,19.407,10436608
baseline,outcomes,4,2,849,19.236,10616832
baseline,outcomes,8,0,1013,19.622,10485760
baseline,outcomes,8,1,1013,19.747,10567680
baseline,outcomes,8,2,1013,19.620,10567680
baseline,outcomes,16,0,1349,20.359,11059200
baseline,outcomes,16,1,1349,20.130,11010048
baseline,outcomes,16,2,1349,20.409,11206656
baseline,outcomes,32,0,2021,22.988,12222464
baseline,outcomes,32,1,2021,22.709,11747328
baseline,outcomes,32,2,2021,23.905,11878400
baseline,joins,4,0,1069,22.792,10518528
baseline,joins,4,1,1069,20.798,10665984
baseline,joins,4,2,1069,19.984,10502144
baseline,joins,8,0,1453,20.348,10780672
baseline,joins,8,1,1453,21.543,10829824
baseline,joins,8,2,1453,20.299,10862592
baseline,joins,16,0,2235,21.739,11436032
baseline,joins,16,1,2235,21.686,11436032
baseline,joins,16,2,2235,21.595,11534336
baseline,joins,32,0,3803,25.585,13746176
baseline,joins,32,1,3803,25.693,13762560
baseline,joins,32,2,3803,25.652,13942784
candidate,copies,4,0,793,575.721,10715136
candidate,copies,4,1,793,24.706,10633216
candidate,copies,4,2,793,21.225,10567680
candidate,copies,8,0,901,20.354,10878976
candidate,copies,8,1,901,20.173,10993664
candidate,copies,8,2,901,20.250,10944512
candidate,copies,16,0,1131,21.501,11812864
candidate,copies,16,1,1131,23.475,11911168
candidate,copies,16,2,1131,23.143,11780096
candidate,copies,32,0,1595,25.010,13484032
candidate,copies,32,1,1595,23.897,13352960
candidate,copies,32,2,1595,23.889,13352960
candidate,outcomes,4,0,849,21.640,11108352
candidate,outcomes,4,1,849,21.258,11190272
candidate,outcomes,4,2,849,21.090,11190272
candidate,outcomes,8,0,1013,26.173,12861440
candidate,outcomes,8,1,1013,27.897,13189120
candidate,outcomes,8,2,1013,27.183,13025280
candidate,outcomes,16,0,1349,64.859,20791296
candidate,outcomes,16,1,1349,64.728,20643840
candidate,outcomes,16,2,1349,61.675,20332544
candidate,outcomes,32,0,2021,585.006,59162624
candidate,outcomes,32,1,2021,585.770,58228736
candidate,outcomes,32,2,2021,582.922,58081280
candidate,joins,4,0,1069,22.210,11239424
candidate,joins,4,1,1069,22.074,11173888
candidate,joins,4,2,1069,25.285,11288576
candidate,joins,8,0,1453,31.433,14188544
candidate,joins,8,1,1453,28.773,13615104
candidate,joins,8,2,1453,28.020,13893632
candidate,joins,16,0,2235,77.729,34668544
candidate,joins,16,1,2235,78.130,35258368
candidate,joins,16,2,2235,78.119,34865152
candidate,joins,32,0,3803,720.838,223674368
candidate,joins,32,1,3803,722.028,223264768
candidate,joins,32,2,3803,712.906,223936512
